MovieID,Year,Class,G,PG,PG-13,R,NR,CompHigh,CompMed,CompLow,StarHigh,StarMed,StarLow,Sci_Fi,HistEpicDrama,ModernDrama,Political,Thriller,Horror,Comedy,Cartoon,Action,Docum,TechHigh,TechMedium,TechLow,Sequel,NoScreens,Revenue,LT_1M,1M_10M,10M_20M,20M_40M,40M_65M,65M_100M,100M_150M,150M_200M,GT_200M
85,2004,9,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3554,277642000,0,0,0,0,0,0,0,0,1
86,2005,,0,0,0,1,0,0,0,1,0,1,,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,1,
87,2005,4,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2735,,0,0,0,1,0,0,0,0,0
88,2005,4,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,512,,0,0,0,1,0,0,0,0,0
89,2004,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2649,33682000,0,0,0,1,0,0,0,0,0
90,2004,4,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,3170,37747000,0,0,0,1,0,0,0,0,0
91,2005,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,51,,1,0,0,0,0,0,0,0,0
92,2005,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,811,,0,0,1,0,0,0,0,0,0
93,2005,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3543,,0,0,0,0,1,0,0,0,0
94,2005,5,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2815,,0,0,0,0,1,0,0,0,0
95,2004,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2868,14339000,0,0,1,0,0,0,0,0,0
96,2004,3,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2042,14140000,0,0,1,0,0,0,0,0,0
97,2005,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1757,,0,0,1,0,0,0,0,0,0
98,2004,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2800,69898000,0,0,0,0,0,1,0,0,0
99,2004,8,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,3444,186646000,0,0,0,0,0,0,0,1,0
100,2004,3,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2153,15622000,0,0,1,0,0,0,0,0,0
101,2005,6,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3147,,0,0,0,0,0,1,0,0,0
102,2004,7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3348,110176000,0,0,0,0,0,0,1,0,0
103,2005,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2464,,0,0,1,0,0,0,0,0,0
104,2004,4,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1821,25198000,0,0,0,1,0,0,0,0,0
105,2005,4,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2397,,0,0,0,1,0,0,0,0,0
106,2005,5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,2784,,0,0,0,0,1,0,0,0,0
107,2005,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,21,,0,1,0,0,0,0,0,0,0
108,2005,6,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2089,,0,0,0,0,0,1,0,0,0
109,2005,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1912,,0,0,1,0,0,0,0,0,0
110,2004,4,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2609,22368000,0,0,0,1,0,0,0,0,0
111,2005,4,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1962,,0,0,0,1,0,0,0,0,0
112,2004,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2755,11198000,0,0,1,0,0,0,0,0,0
113,2005,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,63,,1,0,0,0,0,0,0,0,0
114,2004,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,70,1374000,0,1,0,0,0,0,0,0,0
115,2004,5,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2605,57762000,0,0,0,0,1,0,0,0,0
116,2004,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,10,454000,1,0,0,0,0,0,0,0,0
117,2005,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2912,,0,0,0,0,1,0,0,0,0
118,2004,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3052,32451000,0,0,0,1,0,0,0,0,0
119,2004,5,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3086,51795000,0,0,0,0,1,0,0,0,0
120,2004,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1054,16124000,0,0,1,0,0,0,0,0,0
121,2004,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2039,16832000,0,0,1,0,0,0,0,0,0
122,2004,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1566,14133000,0,0,1,0,0,0,0,0,0
123,2005,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2422,,0,0,1,0,0,0,0,0,0
124,2004,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2819,28318000,0,0,0,1,0,0,0,0,0
125,2004,6,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,3261,74507000,0,0,0,0,0,1,0,0,0
126,2005,6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3424,,0,0,0,0,0,1,0,0,0
127,2005,3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,905,,0,0,1,0,0,0,0,0,0
128,2004,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3623,118461000,0,0,0,0,0,0,1,0,0
129,2004,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,92,2709000,0,1,0,0,0,0,0,0,0
130,2005,5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3275,,0,0,0,0,1,0,0,0,0
131,2004,5,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2175,53583000,0,0,0,0,1,0,0,0,0
132,2005,6,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2574,,0,0,0,0,0,1,0,0,0
133,2005,3,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,433,,0,0,1,0,0,0,0,0,0
134,2004,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,147,964000,1,0,0,0,0,0,0,0,0
135,2005,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3233,,0,0,0,0,1,0,0,0,0
136,2005,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,978,,0,0,1,0,0,0,0,0,0
137,2004,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,73,20004000,0,0,0,1,0,0,0,0,0
138,2004,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2756,58156000,0,0,0,0,1,0,0,0,0
