ARG,AUS,AUT,BEL,BRA,CAN,CHL,CHN,COL,CZE,DEU,DNK,EGY,ESP,FIN,FRA,GBR,GRE,HKG,HUN,IDN,IND,IRL,ISR,ITA,JPN,KOR,MAR,MEX,MYS,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,RUS,SGP,SWE,SWZ,TAW,THA,TUR,USA,ZAF
-0.052476,0.000288,-0.075676,0.069213,-0.039357,-0.042219,-0.089309,-0.174746,-0.061045,0.056994,0.040336,-0.023095,-0.049586,0.002838,0.05748,0.022281,0.013251,-0.087992,-0.059304,0.061078,-0.192748,-0.139663,-0.004878,-0.013576,-0.051817,0.013354,-0.100292,-0.026995,-0.064144,-0.25886,-0.018501,-0.036199,-0.14033,-0.284915,-0.071035,-0.202118,-0.002148,-0.078408,-0.241821,-0.137911,-0.007172,-0.000445,-0.066363,-0.323853,0.048005,0.041053,-0.269971
0.062026,-0.00813,0.014772,0.047092,0.082846,-0.074923,0.059195,-0.199563,-0.064314,0.088018,0.022863,0.028604,-0.016409,0.054361,0.106848,0.00927,-0.022263,0.175832,-0.082233,0.090175,0.237417,-0.013222,-0.023187,-0.019615,0.094675,-0.013832,0.268867,0.000503,-0.013067,-0.114346,0.004668,0.01402,0.078784,-0.020465,0.008816,-0.101622,0.078485,0.078231,0.019722,-0.011618,-0.00551,0.069978,-0.017796,0.047055,0.026356,-0.011002,-0.017187
-0.38427,-0.147521,-0.19543,-0.078465,-0.49435,-0.247338,-0.344011,-0.323954,-0.27586,-0.323998,-0.180302,-0.120054,-0.121629,-0.245221,-0.218234,-0.122657,-0.077482,-0.256254,-0.074682,-0.490945,-0.268985,-0.08885,-0.152603,-0.130059,-0.153687,-0.121743,-0.180744,0.068235,-0.41951,-0.328008,-0.13275,-0.327068,-0.228239,0.047706,-0.409826,-0.316695,-0.429812,-0.148272,-0.930683,-0.222401,-0.167036,-0.171056,-0.186534,-0.296765,-0.496799,-0.151127,-0.368805
0.13762,0.062135,-0.112846,-0.021554,0.035852,0.02409,0.060803,0.358842,-0.146451,0.0328,-0.014051,-0.046546,0.07264,-0.021475,0.051719,-0.06886,-0.022918,0.031183,0.14749,-0.015541,-0.303142,0.047736,0.024659,-0.032961,-0.047964,-0.028391,-0.025281,-0.004671,0.174188,-0.070956,-0.06188,-0.042147,-0.064517,0.139741,-0.01685,0.122386,0.039094,-0.095537,-0.483003,0.122175,-0.092315,-0.091578,0.080403,0.310229,-0.172288,0.062484,0.155598
0.128503,0.080498,0.114991,0.066109,0.038338,0.095181,0.075648,0.094917,-0.043296,0.105149,0.040043,0.072417,-0.091372,0.148571,0.113629,0.097297,0.056992,0.018506,0.28374,0.160282,0.442037,-0.079797,0.053296,-0.063635,0.061946,0.154335,0.275742,-0.037101,0.113286,0.096704,0.053562,0.153785,0.121722,-0.349987,-0.010264,0.360116,0.08754,0.151138,0.436151,0.211008,0.060798,0.134751,0.120867,0.326398,-0.043332,0.073454,0.177279
0.032049,0.05859,-0.053653,0.030524,0.159729,0.034816,0.149833,0.03128,0.264743,-0.024982,0.04961,-0.050156,-0.023608,0.066851,0.066212,0.060008,0.04164,0.136481,-0.00484,0.08328,0.431368,-0.018243,0.051122,0.067952,0.097297,0.044079,0.171683,-0.033583,-0.063581,0.229734,0.049461,-0.071993,0.055225,0.304444,0.165223,0.131869,-0.066137,-0.03487,0.331906,0.136951,0.089758,0.04747,0.061383,0.149589,0.110283,0.064684,-0.040712
-0.1007,-0.009473,0.014625,0.105754,-0.209961,0.009888,-0.108038,-0.086075,0.046626,0.055294,0.023661,0.094585,0.020269,0.030917,0.165831,0.039612,0.029062,0.093629,-0.020831,0.083074,-0.061818,0.07989,0.099339,0.021102,0.07799,0.037306,0.315223,-0.009007,0.044599,0.164474,0.081017,-0.052431,0.000558,-0.125637,-0.17063,-0.032022,0.074978,0.024576,-0.247015,-0.013818,-0.016436,0.031185,-0.114033,-0.041308,-0.015133,0.056351,-0.095615
-0.050051,0.056812,-0.062964,-0.033506,-0.336339,0.078445,-0.026673,-0.205635,-0.271666,-0.09456,0.015625,-0.036893,0.280374,-0.018065,0.097791,0.027784,-0.012445,0.13621,-0.072326,0.052991,-0.031895,0.112769,0.015354,0.024595,-0.054588,0.006589,0.032938,0.037739,-0.01285,0.015181,-0.079468,0.097072,0.091764,-0.089067,-0.023942,-0.009902,0.158509,0.037537,-0.05461,0.002886,0.056408,-0.024403,-0.029996,0.023573,-0.059979,0.041268,0.053056
0.008988,-0.027444,0.05278,-0.047497,0.068854,-0.059946,0.044435,-0.043325,0.065393,-0.232991,-0.087145,-0.091078,-0.057321,-0.020241,-0.059195,-0.068649,0.019956,-0.013088,0.006512,-0.160669,-0.04244,-0.034053,-0.003542,0.022278,-0.015686,-0.022826,-0.119711,-0.043355,0.093638,0.096102,-0.008276,-0.097443,-0.001301,0.026924,0.026823,0.001703,-0.22233,-0.071676,0.31104,-0.013682,-0.025468,-0.033811,0.046891,-0.100006,0.349195,-0.029394,-0.006076
0.081991,0.039427,-0.004141,-0.060052,0.311181,0.039166,0.129186,0.120647,0.031006,0.128451,-0.02853,-0.018317,-0.012623,-0.038706,0.124578,0.017459,0.028742,-0.035193,0.120582,-0.056676,0.024905,0.154092,-0.018472,0.100313,0.036986,0.12933,0.154575,-0.068976,0.168299,-0.077908,0.008923,0.092222,-0.025349,0.198969,0.0492,0.050944,0.085943,-0.071628,0.232902,0.104185,0.018481,-0.011928,0.092542,0.057844,0.11858,0.0397,0.06872
